Id,SalePrice
1001,73862.895775
1002,91039.893776
1003,263633.171230
1004,164326.193373
1005,206634.118859
1006,110259.883212
1007,188349.822346
1008,86833.226565
1009,220703.610918
1010,111958.039966
1011,123774.052753
1012,118997.379261
1013,156739.075248
1014,110103.113229
1015,138407.199263
1016,244549.163206
1017,207505.165620
1018,230964.156999
1019,202766.475932
1020,206028.131391
1021,106977.600301
1022,199814.163275
1023,116329.158666
1024,205804.550515
1025,311354.983486
1026,121988.035491
1027,140924.849654
1028,266206.931677
1029,125992.751970
1030,146144.583699
1031,132084.601614
1032,293777.875800
1033,309367.655647
1034,243762.501887
1035,105073.025330
1036,74754.655683
1037,296552.475295
1038,289831.068027
1039,76145.225436
1040,63930.587447
1041,168598.598886
1042,187110.502048
1043,176756.743760
1044,249895.958492
1045,287712.906506
1046,109823.484692
1047,350289.574832
1048,136093.845207
1049,160873.463160
1050,79714.956208
1051,195749.364086
1052,196609.297122
1053,206535.913531
1054,138571.997492
1055,263016.502472
1056,181458.195043
1057,200813.842451
1058,224201.095963
1059,321359.181525
1060,202750.263842
1061,230578.688229
1062,112566.237975
1063,198222.840170
1064,159061.434174
1065,136259.930266
1066,247263.524394
1067,179772.805132
1068,184327.379475
1069,234996.746246
1070,127303.354399
1071,111640.876843
1072,181559.396401
1073,131617.713613
1074,175073.452431
1075,220169.954871
1076,198014.963525
1077,155293.791471
1078,114559.591240
1079,145590.798785
1080,109304.873174
1081,170395.320737
1082,112156.819526
1083,207306.831525
1084,155951.734679
1085,177356.863959
1086,158900.467027
1087,86833.226565
1088,291505.040320
1089,213602.707184
1090,224740.252992
1091,73312.648322
1092,194349.162335
1093,194000.030769
1094,155297.560159
1095,107001.247083
1096,169521.297494
1097,130668.234375
1098,213166.596764
1099,96426.111745
1100,212313.728379
1101,-1224.237142
1102,106533.870769
1103,114576.829320
1104,167678.923362
1105,141937.569747
1106,299622.372998
1107,214427.949821
1108,230811.518032
1109,189114.678380
1110,278197.427812
1111,186201.039048
1112,230516.051200
1113,101052.509650
1114,107749.957175
1115,102641.858963
1116,275878.576528
1117,232312.773051
1118,122126.646646
1119,139635.339688
1120,111244.294347
1121,137757.634795
1122,233811.621841
1123,80372.572222
1124,71110.042925
1125,202847.419879
1126,109848.583382
1127,228899.973380
1128,226416.300566
1129,228235.744698
1130,133416.913362
1131,154249.719789
1132,84792.139021
1133,192873.586533
1134,259575.849580
1135,184528.690053
1136,131159.504285
1137,148825.541318
1138,87072.488370
1139,193428.305224
1140,137526.553079
1141,141178.452441
1142,171820.831662
1143,335254.556524
1144,86378.469003
1145,78256.123655
1146,135285.138101
1147,167193.431067
1148,189041.278120
1149,168824.628838
1150,200026.887511
1151,133708.853005
1152,153717.611617
1153,195403.337545
1154,133184.687385
1155,223750.872035
1156,152280.000071
1157,142675.037570
1158,204225.137094
1159,264179.478604
1160,201529.059524
1161,176560.636790
1162,205757.588105
1163,122126.646646
1164,111108.375330
1165,154520.841043
1166,214291.437249
1167,267590.944638
1168,188546.100707
1169,213029.951895
1170,418678.729065
1171,145086.273720
1172,166603.589541
1173,201010.998713
1174,189489.917844
1175,217312.593232
1176,304922.766645
1177,104531.750172
1178,144202.186043
1179,122117.014648
1180,92228.060812
1181,266491.565377
1182,241996.709460
1183,461014.916907
1184,145025.002904
1185,189660.272932
1186,124613.685531
1187,106810.699736
1188,263332.757875
1189,215860.700541
1190,220883.786184
1191,191441.290553
1192,231951.630312
1193,131166.526088
1194,163483.564566
1195,154239.085101
1196,174901.500102
1197,244168.399459
1198,194914.146670
1199,196970.354165
1200,119702.630624
1201,75281.754938
1202,223958.221273
1203,123609.231223
1204,212631.422661
1205,132916.281569
1206,262376.760940
1207,89113.490219
1208,192970.158291
1209,143733.261854
1210,243139.903465
1211,196756.985814
1212,247368.774827
1213,63855.767855
1214,83524.931928
1215,109792.506898
1216,108071.548688
1217,202776.474218
1218,228144.588227
1219,54729.770676
1220,123876.759139
1221,104981.931253
1222,121214.468208
1223,179391.708876
1224,186931.395619
1225,203078.088706
1226,142178.758744
1227,220981.469628
1228,128245.237826
1229,306424.424281
1230,139289.250753
1231,213911.082637
1232,140533.256527
1233,111994.561589
1234,140060.805149
1235,133869.222844
1236,143729.754211
1237,213387.135008
1238,227690.443767
1239,162770.251384
1240,233253.692882
1241,223288.485090
1242,247737.384833
1243,193170.485726
1244,343574.869680
1245,231903.149639
1246,198519.336746
1247,215616.776560
1248,185540.763472
1249,204578.419223
1250,108251.723955
1251,239371.340014
1252,202597.457238
1253,103098.164399
1254,242031.076626
1255,211680.481243
1256,165808.544166
1257,267272.590653
1258,79339.129707
1259,187514.238643
1260,157461.934732
1261,189988.744471
1262,113896.900161
1263,122082.515186
1264,198121.704960
1265,173606.439789
1266,206088.775080
1267,208221.844873
1268,309397.037196
1269,364363.947264
1270,136440.409426
1271,212976.290915
1272,179109.064762
1273,106122.105928
1274,155026.168584
1275,144005.366250
1276,170914.430840
1277,175900.965041
1278,191505.287078
1279,264725.254819
1280,109973.147177
1281,213663.265178
1282,199574.522153
1283,130774.543374
1284,153917.883176
1285,210056.015615
1286,156425.363891
1287,173865.417573
1288,153744.036231
1289,243048.852236
1290,280319.037139
1291,136326.698311
1292,123319.845898
1293,183331.128765
1294,217510.736390
1295,125699.829184
1296,111922.124925
1297,136837.565929
1298,161050.342464
1299,532593.735607
1300,122244.383534
1301,231748.283547
1302,157711.280519
1303,311656.056543
1304,239141.159499
1305,213553.134372
1306,283834.836817
1307,200597.349527
1308,128129.989108
1309,136664.564309
1310,170852.632617
1311,230926.723903
1312,197347.771389
1313,310518.241496
1314,339567.628702
1315,79445.871142
1316,214721.466162
1317,267902.471717
1318,199472.357199
1319,271039.820467
1320,78118.561792
1321,177734.195487
1322,41444.764935
1323,231843.317702
1324,44616.917040
1325,277533.730289
1326,48979.324491
1327,20899.868624
1328,99227.459294
1329,246108.186920
1330,213186.830874
1331,264368.669014
1332,130327.295928
1333,73234.087303
1334,127563.856758
1335,145060.656899
1336,178393.652998
1337,162223.920709
1338,43873.324861
1339,225783.357324
1340,102602.436280
1341,117926.588141
1342,165247.799842
1343,274469.792071
1344,195150.526964
1345,203549.490794
1346,81202.140566
1347,241070.991522
1348,269001.296517
1349,208502.660519
1350,234367.472762
1351,252504.204375
1352,191523.488754
1353,170312.278208
1354,339568.740388
1355,251692.181759
1356,228500.761143
1357,102994.993002
1358,133321.964902
1359,182360.655787
1360,308508.752355
1361,213840.245971
1362,206803.094706
1363,122258.493289
1364,174047.605727
1365,192517.987624
1366,223606.050830
1367,226245.615726
1368,134882.388402
1369,145590.798785
1370,243619.442795
1371,102969.637226
1372,172792.400532
1373,241257.076907
1374,369278.918742
1375,260325.859737
1376,259253.654241
1377,120613.664800
1378,166033.810734
1379,134693.264140
1380,144839.131758
1381,44974.627560
1382,213890.891374
1383,224359.835986
1384,153229.935045
1385,148791.150852
1386,87998.733714
1387,274525.508785
1388,208994.857696
1389,296410.973354
1390,164762.307547
1391,211159.334954
1392,181835.027987
1393,104387.057510
1394,208788.831823
1395,225675.727717
1396,301096.212546
1397,166498.253413
1398,130295.522175
1399,152167.196676
1400,163487.016332
1401,140847.423620
1402,181610.018504
1403,204726.903874
1404,255276.672713
1405,115488.271635
1406,241699.272589
1407,113640.637813
1408,77802.372537
1409,121622.757983
1410,239358.170554
1411,230134.522508
1412,168742.697994
1413,101131.070670
1414,257238.710925
1415,193089.689868
1416,229593.992748
1417,168904.064004
1418,317221.166702
1419,118473.787649
1420,199942.729542
1421,188514.472486
1422,157375.958568
1423,145590.798785
1424,213160.554350
1425,134527.155781
1426,170097.883866
1427,240338.513068
1428,137005.967768
1429,97637.103538
1430,176887.389063
1431,165688.064579
1432,151873.376442
1433,77782.708681
1434,193673.364192
1435,135037.805201
1436,181488.559735
1437,96885.924824
1438,279306.317046
1439,185688.693663
1440,221447.203097
1441,240664.149902
1442,145590.798785
1443,338578.165803
1444,129971.769685
1445,209579.000784
1446,130029.394044
1447,119659.509362
1448,266779.003963
1449,103489.605682
1450,67739.091712
1451,125342.699190
1452,264495.117152
1453,134061.488460
1454,93021.225803
1455,190240.743300
1456,186858.612215
1457,209635.766790
1458,228256.391697
1459,111220.054011
1460,121537.237555
